epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2828.22,0.9455,0.70638,1.45161,0.86226,0.67543,0.72123,0.37271,1.91738,1.25481,2.7936,0.000848969,0.000848969,0.000848969
43,2877.89,0.93343,0.67795,1.43797,0.8461,0.72798,0.75836,0.39084,1.83863,1.09855,2.69622,0.000834822,0.000834822,0.000834822
44,2929.35,0.9421,0.68812,1.44279,0.84554,0.74176,0.76152,0.41744,1.7843,1.06959,2.61576,0.000820675,0.000820675,0.000820675
45,2979.38,0.92968,0.6769,1.43767,0.88736,0.72241,0.76205,0.41629,1.76211,1.13463,2.63233,0.000806528,0.000806528,0.000806528
46,3031.62,0.91424,0.68728,1.42525,0.87637,0.73989,0.76134,0.41613,1.74268,1.06443,2.65523,0.00079238,0.00079238,0.00079238
47,3081.08,0.91228,0.65449,1.42359,0.85598,0.7079,0.75194,0.42755,1.73448,1.14486,2.61715,0.000778233,0.000778233,0.000778233
48,3133.03,0.9282,0.67649,1.43415,0.87393,0.70632,0.73703,0.40826,1.77322,1.1093,2.60772,0.000764086,0.000764086,0.000764086
49,3181.7,0.89647,0.6536,1.41734,0.87193,0.73304,0.77384,0.42128,1.79402,1.05033,2.67154,0.000749939,0.000749939,0.000749939
50,3231.8,0.90502,0.65169,1.41815,0.71333,0.65983,0.70874,0.3628,1.74807,1.28122,2.53837,0.000735792,0.000735792,0.000735792
51,3282.14,0.91405,0.64919,1.4228,0.90824,0.71787,0.78743,0.42798,1.72157,1.08509,2.57674,0.000721645,0.000721645,0.000721645
52,3329.79,0.88331,0.64837,1.40627,0.86413,0.74138,0.75977,0.41032,1.77343,1.07557,2.57987,0.000707498,0.000707498,0.000707498
53,3378.23,0.88664,0.63595,1.40047,0.8819,0.71043,0.76237,0.41752,1.76114,1.03566,2.66471,0.000693351,0.000693351,0.000693351
54,3426.25,0.88254,0.64381,1.39064,0.86877,0.70426,0.74235,0.38176,1.87531,1.106,2.74101,0.000679204,0.000679204,0.000679204
