epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4360.64,0.82347,0.61993,1.30033,0.90395,0.84065,0.87531,0.53615,1.48445,0.78158,2.10145,0.000848969,0.000848969,0.000848969
43,4464.21,0.81114,0.6123,1.29188,0.91551,0.85838,0.89281,0.5552,1.41392,0.72542,2.05249,0.000834822,0.000834822,0.000834822
44,4568.1,0.8215,0.61372,1.30197,0.87398,0.85656,0.87544,0.53058,1.47047,0.79113,2.18204,0.000820675,0.000820675,0.000820675
45,4672.27,0.81215,0.60688,1.29344,0.92188,0.83284,0.89361,0.55561,1.45931,0.71712,2.08317,0.000806528,0.000806528,0.000806528
46,4774.89,0.80097,0.60403,1.28491,0.91576,0.82202,0.89007,0.54921,1.47543,0.76619,2.13975,0.00079238,0.00079238,0.00079238
47,4876.87,0.8097,0.60843,1.28877,0.89959,0.82486,0.86655,0.52439,1.51656,0.77772,2.21908,0.000778233,0.000778233,0.000778233
48,4979.81,0.80494,0.59496,1.28474,0.89426,0.86492,0.8838,0.53781,1.47263,0.80414,2.10814,0.000764086,0.000764086,0.000764086
49,5084.12,0.79578,0.59653,1.27825,0.92477,0.84142,0.89146,0.54971,1.422,0.7682,2.06732,0.000749939,0.000749939,0.000749939
50,5186.45,0.78694,0.57496,1.27113,0.87758,0.85793,0.86871,0.53606,1.49859,0.75842,2.17564,0.000735792,0.000735792,0.000735792
51,5289.7,0.78524,0.5801,1.27244,0.91422,0.86649,0.90162,0.55158,1.4389,0.71257,2.09477,0.000721645,0.000721645,0.000721645
52,5392.28,0.77708,0.57733,1.26929,0.91152,0.85582,0.88904,0.53083,1.4927,0.73808,2.17639,0.000707498,0.000707498,0.000707498
53,5494.63,0.76687,0.56135,1.25602,0.92394,0.86585,0.89238,0.54561,1.46634,0.76038,2.16786,0.000693351,0.000693351,0.000693351
54,5597.62,0.77073,0.55898,1.26504,0.90439,0.87113,0.87955,0.52968,1.49698,0.79638,2.21094,0.000679204,0.000679204,0.000679204
55,5700.24,0.76927,0.55489,1.25837,0.91128,0.83588,0.87662,0.547,1.4584,0.73876,2.15173,0.000665057,0.000665057,0.000665057
56,5802.65,0.75472,0.5472,1.2501,0.90736,0.82742,0.88973,0.54838,1.48218,0.78529,2.2019,0.000650909,0.000650909,0.000650909
57,5904.55,0.75208,0.54841,1.24882,0.89838,0.857,0.88201,0.54184,1.47639,0.76959,2.16707,0.000636762,0.000636762,0.000636762
58,6008.44,0.75484,0.54837,1.25108,0.92015,0.85188,0.88678,0.53958,1.47631,0.75654,2.21972,0.000622615,0.000622615,0.000622615
59,6111.3,0.7442,0.5342,1.23911,0.92467,0.84235,0.88967,0.54574,1.48142,0.7776,2.21416,0.000608468,0.000608468,0.000608468
60,6214.36,0.74386,0.53297,1.24122,0.90412,0.87305,0.8974,0.5471,1.48094,0.71,2.17598,0.000594321,0.000594321,0.000594321
61,6316.52,0.73647,0.53419,1.23082,0.93043,0.85706,0.88892,0.54756,1.48763,0.76524,2.21231,0.000580174,0.000580174,0.000580174
62,6417.82,0.73035,0.5305,1.22747,0.90942,0.86007,0.88265,0.54236,1.46584,0.7459,2.20146,0.000566027,0.000566027,0.000566027
63,6519.72,0.71975,0.5124,1.22046,0.90513,0.85441,0.8851,0.54433,1.46815,0.72044,2.19843,0.00055188,0.00055188,0.00055188
64,6620.55,0.72945,0.52145,1.22575,0.89306,0.86423,0.87642,0.53882,1.46772,0.7256,2.16145,0.000537733,0.000537733,0.000537733
65,6721.43,0.7173,0.51522,1.21814,0.86699,0.86303,0.89241,0.55498,1.43847,0.77866,2.15541,0.000523586,0.000523586,0.000523586
