epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3162.2,0.65321,0.48395,1.22508,0.87137,0.7535,0.7941,0.46835,1.63259,0.93901,2.51134,0.000848969,0.000848969,0.000848969
43,3236.38,0.65141,0.47982,1.21838,0.86544,0.74609,0.78416,0.45708,1.61831,1.01478,2.43346,0.000834822,0.000834822,0.000834822
44,3310.72,0.64428,0.48462,1.21926,0.88107,0.74187,0.8046,0.47333,1.57338,0.94862,2.41852,0.000820675,0.000820675,0.000820675
45,3387.27,0.64544,0.47721,1.2198,0.87111,0.74985,0.79583,0.46362,1.59812,0.979,2.40143,0.000806528,0.000806528,0.000806528
46,3462.39,0.65349,0.49227,1.21904,0.878,0.7591,0.79388,0.44754,1.64238,0.99876,2.4973,0.00079238,0.00079238,0.00079238
47,3536.02,0.63695,0.4663,1.20648,0.86685,0.77619,0.79962,0.46421,1.57747,0.91913,2.42446,0.000778233,0.000778233,0.000778233
48,3610.5,0.64196,0.47221,1.21743,0.86733,0.73744,0.7943,0.46067,1.65026,0.93496,2.51947,0.000764086,0.000764086,0.000764086
49,3684.68,0.63259,0.46631,1.20651,0.87518,0.74284,0.78611,0.46758,1.60812,0.93739,2.51581,0.000749939,0.000749939,0.000749939
50,3759.25,0.62676,0.46815,1.20278,0.88441,0.74423,0.79497,0.45848,1.6462,1.01617,2.57412,0.000735792,0.000735792,0.000735792
51,3832.93,0.6134,0.45608,1.19593,0.89896,0.74793,0.80207,0.4805,1.60329,0.94214,2.44517,0.000721645,0.000721645,0.000721645
52,3907.43,0.6232,0.46078,1.19524,0.84614,0.76953,0.79982,0.46054,1.59625,0.92972,2.48295,0.000707498,0.000707498,0.000707498
53,3981.32,0.61925,0.45172,1.1949,0.89753,0.76364,0.80896,0.46929,1.59313,0.97381,2.48657,0.000693351,0.000693351,0.000693351
54,4056.01,0.60185,0.44184,1.18452,0.8416,0.75165,0.79229,0.45951,1.62671,1.03843,2.55032,0.000679204,0.000679204,0.000679204
55,4131.52,0.60366,0.44912,1.18356,0.88998,0.75202,0.77566,0.45603,1.5951,0.94713,2.48665,0.000665057,0.000665057,0.000665057
56,4205.46,0.60639,0.4437,1.18797,0.88682,0.76531,0.80564,0.4686,1.63845,0.9157,2.53052,0.000650909,0.000650909,0.000650909
57,4279.68,0.58506,0.43825,1.17587,0.86873,0.7479,0.75832,0.43731,1.57788,0.94159,2.52246,0.000636762,0.000636762,0.000636762
58,4353.72,0.59238,0.42711,1.17819,0.90715,0.76057,0.78324,0.44599,1.58524,0.95474,2.52295,0.000622615,0.000622615,0.000622615
59,4428.62,0.59075,0.43241,1.17733,0.8768,0.74446,0.78463,0.46488,1.6075,0.97503,2.58242,0.000608468,0.000608468,0.000608468
60,4504.17,0.59159,0.42208,1.17762,0.87612,0.76299,0.80499,0.45714,1.59524,0.95948,2.49337,0.000594321,0.000594321,0.000594321
61,4579.87,0.58781,0.42566,1.17675,0.87601,0.74563,0.78642,0.46295,1.59957,0.94588,2.57955,0.000580174,0.000580174,0.000580174
62,4654.43,0.58406,0.42905,1.17541,0.87647,0.75939,0.78577,0.46199,1.60884,0.96896,2.63861,0.000566027,0.000566027,0.000566027
63,4729.76,0.58308,0.42847,1.16875,0.87789,0.76434,0.79839,0.46356,1.59447,0.97134,2.59016,0.00055188,0.00055188,0.00055188
64,4804.95,0.58031,0.42563,1.16818,0.90847,0.75872,0.81516,0.47251,1.63164,1.0309,2.63106,0.000537733,0.000537733,0.000537733
65,4879.93,0.57929,0.4146,1.16596,0.88742,0.7591,0.80352,0.46393,1.59951,0.97245,2.55893,0.000523586,0.000523586,0.000523586
66,4954.14,0.5686,0.41201,1.15923,0.88917,0.75713,0.79713,0.47436,1.60022,0.97645,2.60888,0.000509438,0.000509438,0.000509438
67,5029.21,0.56407,0.4124,1.1563,0.89359,0.74764,0.79866,0.46931,1.63615,0.93023,2.62585,0.000495291,0.000495291,0.000495291
68,5104.75,0.55918,0.41728,1.15361,0.86449,0.77402,0.80839,0.47685,1.61901,0.95171,2.65131,0.000481144,0.000481144,0.000481144
69,5179.58,0.55706,0.40158,1.15557,0.90225,0.75679,0.81046,0.47079,1.60232,0.98127,2.6334,0.000466997,0.000466997,0.000466997
70,5253.3,0.56278,0.41282,1.15347,0.88831,0.76287,0.78293,0.46237,1.57495,0.96491,2.58324,0.00045285,0.00045285,0.00045285
71,5326.8,0.54991,0.39468,1.14762,0.89464,0.75853,0.79117,0.46664,1.59256,1.00294,2.55062,0.000438703,0.000438703,0.000438703
